fk_pcg_version,pcg_type,pcg_subtype,account_number,account_parent,label
SKR04,Anlagevermögen,Anlagevermögen,0,0,Anlagevermögen
SKR04,Anlagevermögen,Immaterielle Vermögensgegenstände,100,0,"Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten"
SKR04,Anlagevermögen,Immaterielle Vermögensgegenstände,110,100,Konzessionen
SKR04,Anlagevermögen,Immaterielle Vermögensgegenstände,120,100,Gewerbliche Schutzrechte
SKR04,Anlagevermögen,Immaterielle Vermögensgegenstände,130,100,Ähnliche Rechte und Werte
SKR04,Anlagevermögen,Immaterielle Vermögensgegenstände,135,100,EDV-Software
SKR04,Anlagevermögen,Immaterielle Vermögensgegenstände,140,100,Lizenzen an gewerblichen Schutzrechten und ähnlichen Rechten und Werte
SKR04,Anlagevermögen,Immaterielle Vermögensgegenstände,143,0,Selbst geschaffene immaterielle Vermögensgegenstände
SKR04,Anlagevermögen,Immaterielle Vermögensgegenstände,144,143,EDV-Software
SKR04,Anlagevermögen,Immaterielle Vermögensgegenstände,145,143,Lizenzen und Franchiseverträge
SKR04,Anlagevermögen,Immaterielle Vermögensgegenstände,146,143,Konzessionen und gewerbliche Schutzrechte
SKR04,Anlagevermögen,Immaterielle Vermögensgegenstände,147,143,"Rezepte, Verfahren, Prototypen"
SKR04,Anlagevermögen,Immaterielle Vermögensgegenstände,148,143,Immaterielle Vermögensgegenstände in Entwicklung
SKR04,Anlagevermögen,Immaterielle Vermögensgegenstände,150,0,Geschäfts- oder Firmenwert
SKR04,Anlagevermögen,Immaterielle Vermögensgegenstände,160,0,Verschmelzungsmehrwert
SKR04,Anlagevermögen,Immaterielle Vermögensgegenstände,170,0,Geleistete Anzahlungen auf immaterielle Vermögensgegenstände
SKR04,Anlagevermögen,Immaterielle Vermögensgegenstände,179,0,Anzahlungen auf Geschäfts- oder Firmenwert
SKR04,Anlagevermögen,Sachanlagen,200,0,"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstück"
SKR04,Anlagevermögen,Sachanlagen,210,200,Grundstücksgleiche Rechte ohne Bauten
SKR04,Anlagevermögen,Sachanlagen,215,200,Unbebaute Grundstücke
SKR04,Anlagevermögen,Sachanlagen,220,200,"Grundstücksgleiche Rechte (Erbbaurecht, Dauerwohnrecht, unbebaute Grundstücke)"
